[#|2013-08-29T14:01:10.733+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field cUserList] is being defaulted to: class entity.CUser.|#]

[#|2013-08-29T14:01:10.733+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field deviceList] is being defaulted to: class entity.Device.|#]

[#|2013-08-29T14:01:10.734+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field clientList] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.735+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Client] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.736+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field servicesList] is being defaulted to: class entity.Services.|#]

[#|2013-08-29T14:01:10.736+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field softwareList] is being defaulted to: class entity.Software.|#]

[#|2013-08-29T14:01:10.737+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to one mapping element [field idFilePath] is being defaulted to: class entity.FilePath.|#]

[#|2013-08-29T14:01:10.738+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field deviceList] is being defaulted to: class entity.Device.|#]

[#|2013-08-29T14:01:10.739+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field mailList] is being defaulted to: class entity.Mail.|#]

[#|2013-08-29T14:01:10.740+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field cUserList] is being defaulted to: class entity.CUser.|#]

[#|2013-08-29T14:01:10.740+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field taskList] is being defaulted to: class entity.Task.|#]

[#|2013-08-29T14:01:10.741+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idUser] is being defaulted to: class entity.CUser.|#]

[#|2013-08-29T14:01:10.741+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Mail] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.742+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.743+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Intervention] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.743+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idTask] is being defaulted to: class entity.Task.|#]

[#|2013-08-29T14:01:10.744+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idFacture] is being defaulted to: class entity.Facture.|#]

[#|2013-08-29T14:01:10.745+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Software] is being defaulted to: Software.|#]

[#|2013-08-29T14:01:10.748+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Device] is being defaulted to: Device.|#]

[#|2013-08-29T14:01:10.749+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Facture] is being defaulted to: Facture.|#]

[#|2013-08-29T14:01:10.750+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.CUser] is being defaulted to: CUser.|#]

[#|2013-08-29T14:01:10.751+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.TUser] is being defaulted to: TUser.|#]

[#|2013-08-29T14:01:10.753+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Services] is being defaulted to: Services.|#]

[#|2013-08-29T14:01:10.754+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Task] is being defaulted to: Task.|#]

[#|2013-08-29T14:01:10.755+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.FilePath] is being defaulted to: FilePath.|#]

[#|2013-08-29T14:01:10.756+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Client] is being defaulted to: Client.|#]

[#|2013-08-29T14:01:10.757+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Mail] is being defaulted to: Mail.|#]

[#|2013-08-29T14:01:10.759+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The alias name for the entity class [class entity.Intervention] is being defaulted to: Intervention.|#]

